"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5","5","0.1u","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"2","J1","1","Conn_01x03_Pin","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"3","J2","1","RIGHT","Connector_JST:JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal",""
"4","J3","1","MIDDLE","Connector_JST:JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal",""
"5","J4","1","LEFT","Connector_JST:JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal",""
"6","J5","1","Conn_01x12_Pin","Connector_JST:JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal",""
"7","J6","1","I2C","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"8","J7","1","EUSART","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"9","J8","1","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"10","Q1, Q2, Q3","3","MPSA42","Package_TO_SOT_THT:TO-92_Inline",""
"11","R1, R2, R4, R5, R7, R8, R10, R11, R13, R14, R16, R17, R19, R20, R22, R23, R25, R26, R28, R29, R31, R32, R34, R35","24","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"12","R3, R6, R9, R12, R15, R18, R21, R24, R27, R30, R33, R36","12","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R37, R38, R39, R40, R41, R42","6","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","U1","1","PIC16F1939","Package_DIP:DIP-40_W15.24mm_Socket",""
"15","U2, U3, U4","3","TLP627","Package_DIP:DIP-16_W7.62mm_Socket",""
"16","U5, U6, U7","3","K155ID1","Package_DIP:DIP-16_W7.62mm_Socket",""
