Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",C_Disc_D3.0mm_W2.0mm_P2.50mm,5,0.1u,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
J2,JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal,1,RIGHT,
J3,JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal,1,MIDDLE,
J4,JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal,1,LEFT,
J5,JST_XH_S12B-XH-A_1x12_P2.50mm_Horizontal,1,Conn_01x12_Pin,
J6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,I2C,
J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,EUSART,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"Q1, Q2, Q3",TO-92_Inline,3,MPSA42,
"R1, R10, R11, R13, R14, R16, R17, R19, R2, R20, R22, R23, R25, R26, R28, R29, R31, R32, R34, R35, R4, R5, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,24,10k,
"R12, R15, R18, R21, R24, R27, R3, R30, R33, R36, R6, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,12,330,
"R37, R38, R39, R40, R41, R42",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,100k,
U1,DIP-40_W15.24mm_Socket,1,PIC16F1939,
"U2, U3, U4",DIP-16_W7.62mm_Socket,3,TLP627,
"U5, U6, U7",DIP-16_W7.62mm_Socket,3,K155ID1,
